指标名称,钢材价格指数:螺纹钢:Φ12-25,收盘价:螺纹指数,热卷:中国:市场价,收盘价:热卷指数
2009/6/17,,3854.82 ,,
2009/6/18,,3845.05 ,548,
2009/6/19,105.26,3909.10 ,,
2009/6/22,,3921.73 ,,
2009/6/23,,3884.13 ,,
2009/6/24,,3872.77 ,,
2009/6/25,,3869.10 ,558,
2009/6/26,107.27,3857.18 ,,
2009/6/29,,3832.36 ,,
2009/6/30,,3827.31 ,,
2009/7/1,,3841.99 ,,
2009/7/2,,3868.10 ,559,
2009/7/3,108.53,3860.67 ,,
2009/7/6,,3866.42 ,,
2009/7/7,,3871.76 ,,
2009/7/8,,3851.54 ,,
2009/7/9,,3866.85 ,,
2009/7/10,110.17,3892.07 ,568,
2009/7/13,,3905.32 ,,
2009/7/14,,3919.15 ,,
2009/7/15,,3995.11 ,,
2009/7/16,,4026.70 ,580,
2009/7/17,111.91,4002.56 ,,
2009/7/20,,4026.00 ,,
2009/7/21,,4033.00 ,,
2009/7/22,,4069.58 ,,
2009/7/23,,4120.76 ,596,
2009/7/24,113.55,4184.09 ,,
2009/7/27,,4239.67 ,,
2009/7/28,,4329.94 ,,
2009/7/29,,4386.57 ,,
2009/7/30,,4440.08 ,607,
2009/7/31,118.98,4622.99 ,,
2009/8/3,,4861.00 ,,
2009/8/4,,4842.58 ,,
2009/8/5,,4875.89 ,,
2009/8/6,,4866.90 ,640,
2009/8/7,131.57,4680.17 ,,
2009/8/10,,4656.55 ,,
2009/8/11,,4675.73 ,,
2009/8/12,,4611.52 ,,
2009/8/13,,4632.84 ,615,
2009/8/14,126.6,4526.42 ,,
2009/8/17,,4449.33 ,,
2009/8/18,,4427.88 ,,
2009/8/19,,4227.50 ,,
2009/8/20,,4289.11 ,,
2009/8/21,119.04,4338.85 ,578,
2009/8/24,,4329.42 ,,
2009/8/25,,4245.99 ,,
2009/8/26,,4274.03 ,,
2009/8/27,,4275.76 ,565,
2009/8/28,113.55,4274.68 ,,
2009/8/31,,4127.24 ,,
2009/9/1,,4078.13 ,,
2009/9/2,,4035.86 ,,
2009/9/3,,4046.55 ,551,
2009/9/4,110.17,4029.95 ,,
2009/9/7,,3916.41 ,,
2009/9/8,,3936.86 ,,
2009/9/9,,4028.50 ,,
2009/9/10,,3997.38 ,,
2009/9/11,104.35,3965.98 ,548,
2009/9/14,,3963.14 ,,
2009/9/15,,3959.86 ,,
2009/9/16,,4027.73 ,,
2009/9/17,,3980.97 ,542,
2009/9/18,104.77,3964.70 ,,
2009/9/21,,3988.84 ,,
2009/9/22,,3952.86 ,,
2009/9/23,,3892.76 ,,
2009/9/24,,3859.18 ,,
2009/9/25,104.63,3824.24 ,521,
2009/9/28,,3664.03 ,,
2009/9/29,,3715.11 ,,
2009/9/30,,3705.80 ,,
2009/10/9,,3659.57 ,518,
2009/10/12,,3676.83 ,,
2009/10/13,,3651.22 ,,
2009/10/14,,3665.95 ,,
2009/10/15,,3739.08 ,,
2009/10/16,101.51,3814.13 ,518,
2009/10/19,,3853.29 ,,
2009/10/20,,3834.55 ,,
2009/10/21,,3879.05 ,528,
2009/10/22,,3851.50 ,,
2009/10/23,102.19,3885.93 ,,
2009/10/26,,3996.00 ,,
2009/10/27,,3972.56 ,,
2009/10/28,,3872.31 ,,
2009/10/29,,3842.67 ,,
2009/10/30,103.13,3882.68 ,540,
2009/11/2,,3926.97 ,,
2009/11/3,,3905.44 ,,
2009/11/4,,3922.12 ,,
2009/11/5,,3947.69 ,,
2009/11/6,103.86,4012.73 ,540,
2009/11/9,,4089.57 ,,
2009/11/10,,4079.16 ,,
2009/11/11,,4082.36 ,,
2009/11/12,,4064.25 ,,
2009/11/13,105.63,4107.87 ,554,
2009/11/16,,4112.08 ,,
2009/11/17,,4119.25 ,,
2009/11/18,,4143.73 ,,
2009/11/19,,4209.97 ,,
